c1,c2,c3,c4
350112103211,东渡村,5,350112103000
350112104000,松下镇,4,350112000000
350112104201,垅下村,5,350112104000
350112104202,首祉村,5,350112104000
350112104203,大祉村,5,350112104000
350112104204,前连村,5,350112104000
350112104205,山前村,5,350112104000
350112104206,松下村,5,350112104000
350112104207,长屿村,5,350112104000
350112104208,午山村,5,350112104000
350112104209,榕岭村,5,350112104000
350112105000,江田镇,4,350112000000
350112105201,溪湄村,5,350112105000
350112105202,下珍村,5,350112105000
350112105203,游溪村,5,350112105000
350112105204,桥里村,5,350112105000
350112105205,溪山村,5,350112105000
350112105206,石门村,5,350112105000
350112105207,三溪村,5,350112105000
350112105208,邦上村,5,350112105000
350112105209,港西村,5,350112105000
350112105210,南阳村,5,350112105000
350112105211,漳流村,5,350112105000
350112105212,友爱村,5,350112105000
350112105213,江田村,5,350112105000
350112105214,克明村,5,350112105000
350112105215,长林村,5,350112105000
350112105216,漳坂村,5,350112105000
350112105217,下沙村,5,350112105000
350112106000,古槐镇,4,350112000000
350112106201,青山村,5,350112106000
350112106202,北湖村,5,350112106000
350112106203,福坊村,5,350112106000
350112106204,中街村,5,350112106000
350112106205,高楼村,5,350112106000
350112106206,洋下村,5,350112106000
350112106207,新桥村,5,350112106000
350112106208,华元村,5,350112106000
350112106209,湖南村,5,350112106000
350112106210,感恩村,5,350112106000
350112106211,昆石村,5,350112106000
350112106212,下村,5,350112106000
350112106213,竹田村,5,350112106000
350112106214,井门村,5,350112106000
350112106215,上店村,5,350112106000
350112106216,前塘村,5,350112106000
350112106217,洋布村,5,350112106000
350112106218,雁塘村,5,350112106000
350112106219,屿南村,5,350112106000
350112106220,屿北村,5,350112106000
350112106221,屿中村,5,350112106000
350112106222,湖坂村,5,350112106000
350112106223,龙田村,5,350112106000
350112107000,文武砂镇,4,350112000000
350112107001,东湖社区,5,350112107000
350112107201,东海村,5,350112107000
350112107202,东岱村,5,350112107000
350112107203,洽屿村,5,350112107000
350112107204,岐西村,5,350112107000
350112107205,壶井村,5,350112107000
350112107206,壶东村,5,350112107000
350112107207,山顶村,5,350112107000
350112107208,下吴村,5,350112107000
350112107209,新村,5,350112107000
